Link,PDF Path,Title,Identifier,Summary,Facts
https://indiankanoon.org/docfragment/65904520/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Myakala_Dharmarajam_vs_The_State_Of_Telangana_on_7_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/60084250/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,The_State_Of_Uttar_Pradesh_vs_Sudhir_Kumar_Singh_on_16_October_2020.PDF,,,,
https://indiankanoon.org/docfragment/76628467/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Nazir_Mohamed_vs_J_Kamala_And_Ors_on_27_August_2020.PDF,,,,
https://indiankanoon.org/docfragment/4472721/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,C_Doddanarayana_Reddy_D_By_Lrs_vs_C_Jayarama_Reddy_Dead_By_Lr_on_14_February_2020.PDF,,,,
https://indiankanoon.org/docfragment/71296036/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Ramkhiladi_vs_The_United_India_Insurance_Company_on_7_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/166859104/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,C_Bright_vs_The_District_Collector_on_5_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/127924004/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Vidaya_Devi_vs_The_State_Of_Himachal_Pradesh_on_8_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/108233196/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Rajeshbhai_Muljibhai_Patel_vs_The_State_Of_Gujarat_on_10_February_2020.PDF,,,,
https://indiankanoon.org/docfragment/180443810/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Kajal_vs_Jagdish_Chand_on_5_February_2020.PDF,,,,
https://indiankanoon.org/docfragment/36325722/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,The_State_Of_Madhya_Pradesh_vs_Amit_Shrivas_on_29_September_2020.PDF,,,,
https://indiankanoon.org/docfragment/7768957/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Union_Bank_Of_India_vs_Rajat_Infrastructure_Pvt_Ltd_on_2_March_2020.PDF,,,,
https://indiankanoon.org/docfragment/143984474/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Prabhakar_Tewari_vs_The_State_Of_Uttar_Pradesh_on_24_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/81302767/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Indian_Bank_vs_Promila_on_8_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/74798333/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Hari_Krishna_Mandir_Trust_vs_State_Of_Maharashtra_on_7_August_2020.PDF,,,,
https://indiankanoon.org/docfragment/152804811/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Laxmibai_vs_The_Collector_Nanded_on_14_February_2020.PDF,,,,
